,,,,,,,,,,,
,Day,Date,Open,High,Low,Close,SMAVG (50) on Close,SMAVG (100) on Close,SMAVG (200) on Close,Volume,SMAVG (150
,Th,5/2/2019,8.78,8.8149,8.33,8.45,9.4198,8.7097,8.5379,143.869k,89274
,We,5/1/2019,8.91,8.99,8.33,8.87,9.4788,8.7047,8.5315,44921,86505
,Tu,4/30/2019,8.83,8.89,8.42,8.86,9.5248,8.6946,8.5239,88440,89920
,Mo,4/29/2019,8.88,8.9637,8.52,8.86,9.568,8.6855,8.5164,56705,90599
,,,,,,,,,,,
,Fr,4/26/2019,8.69,8.9,8.63,8.9,9.608,8.6785,8.5083,40881,91053
,Th,4/25/2019,8.93,8.93,8.45,8.7,9.6482,8.6677,8.5012,87603,96697
,We,4/24/2019,9.07,9.07,8.88,9,9.6918,8.6605,8.4959,45948,102.124k
,Tu,4/23/2019,8.74,9.109,8.59,9.08,9.7228,8.6516,8.4887,72646,107.821k
,Mo,4/22/2019,9.01,9.0599,8.63,8.78,9.7406,8.6446,8.4802,85401,110.87k
,,,,,,,,,,,
,Th,4/18/2019,8.85,9.03,8.64,9.03,9.7622,8.6406,8.4724,131.14k,110.112k
,We,4/17/2019,8.77,8.92,8.53,8.89,9.7794,8.6356,8.4632,95340,107.001k
,Tu,4/16/2019,8.37,8.8,8.37,8.69,9.7958,8.6342,8.4542,92595,106.027k
,Mo,4/15/2019,8.23,8.61,8.21,8.33,9.8134,8.639,8.4465,100.54k,107.341k
,,,,,,,,,,,
,Fr,4/12/2019,8.49,8.55,8.18,8.24,9.8266,8.6545,8.4412,159.468k,124.413k
,Th,4/11/2019,8.66,8.66,8.35,8.44,9.8418,8.6727,8.4375,93615,125.127k
,We,4/10/2019,8.56,8.84,8.36,8.57,9.8436,8.6876,8.4305,102.325k,129.024k
,Tu,4/9/2019,8.7675,8.8299,8.51,8.56,9.8394,8.6976,8.4265,96147,129.735k
,Mo,4/8/2019,8.97,9.115,8.7829,8.86,9.8286,8.7087,8.4234,98627,133.433k
,,,,,,,,,,,
,Fr,4/5/2019,8.94,9.08,8.77,9,9.8058,8.7145,8.4192,63521,136.958k
,Th,4/4/2019,9.22,9.29,8.8425,8.9,9.7754,8.7154,8.4122,125.543k,151.581k
,We,4/3/2019,9.13,9.355,8.845,9.27,9.7486,8.701,8.404,169.005k,175.673k
,Tu,4/2/2019,8.88,9.1,8.74,9.06,9.7146,8.6817,8.39,131.4k,175.074k
,Mo,4/1/2019,8.55,9.07,8.4981,8.88,9.6896,8.6622,8.3779,118.376k,173.761k
,,,,,,,,,,,
,Fr,3/29/2019,8.56,8.7699,8.3,8.49,9.661,8.645,8.3668,74045,174.924k
,Th,3/28/2019,8.47,8.61,8.35,8.49,9.6376,8.6291,8.3596,84475,181.595k
,We,3/27/2019,8.65,8.79,8.3,8.47,9.6174,8.6102,8.3528,80726,187.909k
,Tu,3/26/2019,8.52,8.76,8.5,8.66,9.5974,8.5942,8.3438,112.298k,187.357k
,Mo,3/25/2019,8.69,8.72,8.07,8.42,9.5772,8.5734,8.3343,356.627k,188.36k
,,,,,,,,,,,
,Fr,3/22/2019,9.6,9.6,8.75,8.76,9.5584,8.557,8.327,170.179k,179.793k
,Th,3/21/2019,9.65,9.95,9.62,9.64,9.5318,8.5385,8.3167,152.072k,178.791k
,We,3/20/2019,9.77,9.89,9.49,9.68,9.484,8.5112,8.3012,112.99k,175.784k
,Tu,3/19/2019,9.84,9.9,9.25,9.82,9.4338,8.4847,8.286,151.614k,174.778k
,Mo,3/18/2019,10.16,10.16,9.63,9.77,9.3762,8.4678,8.2708,151.504k,177.114k
,,,,,,,,,,,
,Fr,3/15/2019,10.56,10.56,9.95,10.13,9.3168,8.4575,8.2559,282.863k,174.469k
,Th,3/14/2019,9.82,10.68,9.71,10.57,9.2542,8.4499,8.2368,486.922k,164.346k
,We,3/13/2019,9.87,9.9,9.36,9.42,9.1752,8.4416,8.2154,160.024k,139.913k
,Tu,3/12/2019,9.91,10.03,9.74,9.82,9.1172,8.4434,8.2,111.694k,140.207k
,Mo,3/11/2019,9.45,10.08,9.45,9.92,9.0484,8.441,8.1826,135.821k,147.367k
,,,,,,,,,,,
,Fr,3/8/2019,9.47,9.66,9.21,9.45,8.9784,8.437,8.165,174.11k,148.189k
,Th,3/7/2019,10.04,10.1006,9.242,9.53,8.9106,8.4337,8.1504,179.186k,144.927k
,We,3/6/2019,10.21,10.44,10.04,10.05,8.8364,8.4255,8.135,72445,149.558k
,Tu,3/5/2019,10.35,10.52,10.13,10.24,8.7666,8.4221,8.1175,127.354k,159.558k
,Mo,3/4/2019,10.4,10.93,10.11,10.35,8.6862,8.4178,8.0991,228.124k,171.421k
,,,,,,,,,,,
,Fr,3/1/2019,11.26,11.46,10.58,10.64,8.6056,8.4141,8.0803,155.136k,167.449k
,Th,2/28/2019,11.12,11.48,11.0001,11.26,8.5184,8.4077,8.0608,106.98k,169.049k
,We,2/27/2019,11.32,11.48,11.03,11.14,8.4242,8.401,8.0368,97896,172.798k
,Tu,2/26/2019,11.51,11.68,10.85,11.44,8.339,8.3805,8.0162,186.658k,175.923k
,Mo,2/25/2019,11.71,11.73,11.51,11.55,8.2526,8.3596,7.995,111.822k,174.167k
,,,,,,,,,,,
,Fr,2/22/2019,11.47,11.64,11.44,11.59,8.1646,8.3389,7.9722,131.019k,177.049k
,Th,2/21/2019,11.4,11.59,11.3035,11.47,8.0778,8.3199,7.9495,120.424k,179.069k
,We,2/20/2019,11.2,11.49,11.06,11.4,7.9996,8.3016,7.9274,164.433k,180.826k
,Tu,2/19/2019,11,11.34,10.9,11.17,7.9306,8.2856,7.9047,219.097k,180.342k
,,,,,,,,,,,
,Fr,2/15/2019,10.88,11.08,10.78,11.02,7.8644,8.2683,7.8836,148.144k,171.507k
,Th,2/14/2019,10.84,10.93,10.5726,10.86,7.803,8.2534,7.8632,125.183k,168.972k
,We,2/13/2019,10.89,11.08,10.27,10.91,7.749,8.2402,7.8436,248.657k,164.766k
,Tu,2/12/2019,10.59,10.9,10.57,10.88,7.6872,8.2269,7.824,222.442k,151.681k
,Mo,2/11/2019,9.98,10.59,9.9,10.55,7.6292,8.2129,7.8052,305.303k,142.078k
,,,,,,,,,,,
,Fr,2/8/2019,9.73,10.16,9.7,9.97,7.5804,8.2043,7.7885,168.541k,128.218k
,Th,2/7/2019,9.86,9.98,9.45,9.86,7.5486,8.1981,7.776,179.136k,122.871k
,We,2/6/2019,9.71,10.06,9.7035,9.89,7.519,8.1902,7.7646,163.212k,116.254k
,Tu,2/5/2019,9.56,9.88,9.46,9.71,7.4918,8.1806,7.7548,144.78k,110.889k
,Mo,2/4/2019,9.07,9.6,9.04,9.57,7.4726,8.1687,7.7449,160.318k,104.419k
,,,,,,,,,,,
,Fr,2/1/2019,8.99,9.26,8.72,8.99,7.4646,8.1566,7.735,155.048k,97100
,Th,1/31/2019,8.5,9,8.4,9,7.4824,8.1514,7.7287,161.312k,93104
,We,1/30/2019,8.34,8.61,8.155,8.53,7.5036,8.1455,7.721,146.777k,86036
,Tu,1/29/2019,8.21,8.39,8.1338,8.36,7.5316,8.145,7.7156,157.177k,80805
,Mo,1/28/2019,7.66,8.09,7.55,8.02,7.5558,8.1468,7.7107,86578,74138
,,,,,,,,,,,
,Fr,1/25/2019,7.57,7.96,7.57,7.72,7.5888,8.1549,7.7078,110.117k,71359
,Th,1/24/2019,7.56,7.81,7.46,7.48,7.6232,8.1665,7.7063,62098,67642
,We,1/23/2019,7.6,7.93,7.53,7.56,7.6554,8.1801,7.7042,52373,68272
,Tu,1/22/2019,7.67,7.76,7.46,7.57,7.6534,8.1917,7.7016,78404,77230
,,,,,,,,,,,
,Fr,1/18/2019,7.5,7.81,7.34,7.81,7.6488,8.203,7.6992,97393,82332
,Th,1/17/2019,7.27,7.58,7.21,7.45,7.6348,8.2097,7.6955,88344,85447
,We,1/16/2019,7.5,7.76,7.32,7.32,7.629,8.2193,7.6932,79880,90215
,Tu,1/15/2019,7.58,7.81,7.47,7.48,7.6206,8.231,7.6915,82734,90347
,Mo,1/14/2019,7.62,7.7,7.41,7.47,7.603,8.2402,7.6905,47726,104.989k
,,,,,,,,,,,
,Fr,1/11/2019,7.48,7.76,7.33,7.65,7.591,8.2469,7.6882,50543,111.075k
,Th,1/10/2019,7.36,7.85,7.36,7.48,7.5696,8.2451,7.6858,95102,114.974k
,We,1/9/2019,7.28,7.49,7.18,7.43,7.5556,8.2458,7.6853,55288,114.59k
,Tu,1/8/2019,7.27,7.3655,7.05,7.25,7.5452,8.2442,7.6852,68321,121.311k
,Mo,1/7/2019,6.94,7.27,6.9,7.17,7.5384,8.2433,7.6874,57173,130.543k
,,,,,,,,,,,
,Fr,1/4/2019,6.85,7.19,6.78,6.94,7.5356,8.2391,7.6918,44887,133.991k
,Th,1/3/2019,6.97,7.0334,6.68,6.8,7.5594,8.2369,7.6967,54364,139.972k
,We,1/2/2019,6.45,7.06,6.45,7,7.5982,8.249,7.7042,71542,146.511k
,Mo,12/31/2018,6.53,6.79,6.5287,6.62,7.6456,8.259,7.7109,186.745k,158.572k
,,,,,,,,,,,
,Fr,12/28/2018,6.3,6.77,6.3,6.52,7.708,8.2645,7.7234,154.933k,154.008k
,Th,12/27/2018,6.38,6.5,6.22,6.38,7.7696,8.2724,7.7361,144.125k,154.481k
,We,12/26/2018,6.05,6.48,5.98,6.42,7.8336,8.2799,7.7504,159.864k,150.337k
,Mo,12/24/2018,5.78,6.11,5.734,6.06,7.8956,8.2877,7.7649,81863,147.952k
,,,,,,,,,,,
,Fr,12/21/2018,6.54,6.56,5.82,5.82,7.9568,8.298,7.781,302.352k,147.204k
,Th,12/20/2018,6.33,6.65,6.25,6.56,8.0146,8.309,7.7979,139.027k,131.733k
,We,12/19/2018,6.31,6.665,6.13,6.22,8.0776,8.3116,7.8127,109.028k,129.516k
,Tu,12/18/2018,6.3,6.44,6.2,6.32,8.1494,8.3204,7.8298,89342,136.595k
,Mo,12/17/2018,6.56,6.74,6.24,6.28,8.2226,8.3311,7.8463,156.099k,139.535k
,,,,,,,,,,,
,Fr,12/14/2018,6.88,6.88,6.49,6.55,8.297,8.3438,7.8612,206.794k,131.176k
,Th,12/13/2018,7.11,7.3472,6.74,6.88,8.3778,8.3527,7.8726,108.895k,122.363k
,We,12/12/2018,7.32,7.53,6.9401,7.12,8.422,8.36,7.88,134.608k,128.931k
,Tu,12/11/2018,7.31,7.425,6.96,7.15,8.4666,8.3647,7.8865,152.448k,127.018k
,Mo,12/10/2018,7.56,7.64,7.17,7.25,8.5132,8.3675,7.8934,252.46k,124.473k
,,,,,,,,,,,
,Fr,12/7/2018,7.95,8.08,7.515,7.56,8.562,8.3689,7.9004,118.288k,117.131k
,Th,12/6/2018,7.68,7.98,7.6,7.95,8.6036,8.366,7.9044,162.029k,120.485k
,Tu,12/4/2018,7.95,8.235,7.83,7.86,8.6406,8.3582,7.9067,81951,120.541k
,Mo,12/3/2018,8.12,8.2094,7.68,7.95,8.6722,8.3531,7.909,124.09k,129.686k
,,,,,,,,,,,
,Fr,11/30/2018,7.78,8.23,7.78,8.16,8.7038,8.3474,7.9106,70648,135.181k
,Th,11/29/2018,7.92,8.0587,7.69,7.82,8.7314,8.338,7.9113,70284,188.994k
,We,11/28/2018,8.09,8.31,7.94,7.98,8.7666,8.3347,7.9138,105.769k,192.443k
,Tu,11/27/2018,8.34,8.8899,7.91,8.11,8.7966,8.3314,7.9161,215.219k,194.421k
,Mo,11/26/2018,8.42,8.5526,8.155,8.38,8.8282,8.3257,7.918,133.445k,183.455k
,,,,,,,,,,,
,Fr,11/23/2018,8.36,8.855,8.33,8.38,8.8476,8.3157,7.9172,30714,183.257k
,We,11/21/2018,8.73,9,8.43,8.53,8.8614,8.3042,7.9173,74601,190.506k
,Tu,11/20/2018,8.88,9.07,8.66,8.75,8.8694,8.2908,7.9185,207.407k,199.344k
,Mo,11/19/2018,9.8,9.929,9.09,9.17,8.8648,8.2741,7.9166,105.912k,197.815k
,,,,,,,,,,,
,Fr,11/16/2018,9.9,10.07,9.26,9.88,8.8486,8.254,7.9126,114.282k,206.136k
,Th,11/15/2018,9.76,10.13,9.605,10.06,8.8204,8.2279,7.9079,142.324k,211.768k
,We,11/14/2018,9.61,10.09,9.505,9.93,8.7874,8.2023,7.9065,168.605k,214.227k
,Tu,11/13/2018,9.59,9.84,9.53,9.57,8.7584,8.1733,7.906,162.871k,221.756k
,Mo,11/12/2018,9.44,9.94,9.07,9.67,8.7378,8.1555,7.907,219.124k,271.198k
,,,,,,,,,,,
,Fr,11/9/2018,9.01,9.5325,8.62,9.44,8.721,8.138,7.9079,206.514k,275.659k
,Th,11/8/2018,8,9.7083,7.95,9.09,8.7098,8.1239,7.9123,877.837k,281.67k
,We,11/7/2018,7.34,7.5,7.24,7.46,8.7048,8.109,7.9187,122.024k,232.53k
,Tu,11/6/2018,7.09,7.39,7.09,7.34,8.73,8.1071,7.9333,135.44k,237.525k
,Mo,11/5/2018,7.17,7.1918,6.99,7.11,8.7572,8.0984,7.9478,50721,241.995k
,,,,,,,,,,,
,Fr,11/2/2018,6.89,7.201,6.89,7.16,8.7846,8.0936,7.9637,130.483k,249.592k
,Th,11/1/2018,6.69,7.06,6.4625,6.9,8.8096,8.0887,7.9781,139.448k,252.651k
,We,10/31/2018,6.86,6.94,6.46,6.6,8.8414,8.0901,7.9923,207.172k,253.488k
,Tu,10/30/2018,6.52,7,6.52,6.87,8.8774,8.0954,8.0079,184.466k,255.375k
,Mo,10/29/2018,6.92,6.92,6.46,6.58,8.9028,8.0933,8.0213,230.729k,250.379k
,,,,,,,,,,,
,Fr,10/26/2018,6.82,6.97,6.68,6.78,8.9206,8.0953,8.038,198.765k,242.723k
,Th,10/25/2018,6.91,7.1,6.88,6.91,8.936,8.097,8.0528,179.212k,243.354k
,We,10/24/2018,7.1,7.38,6.9,6.91,8.9432,8.0949,8.0674,281.528k,252.417k
,Tu,10/23/2018,7.81,8.01,6.89,7.03,8.9482,8.0912,8.0814,904.508k,289.479k
,Mo,10/22/2018,8.57,9.21,8.1,8.13,8.9426,8.0873,8.0946,286.032k,243.012k
,,,,,,,,,,,
,Fr,10/19/2018,9.38,9.4999,8.73,8.74,8.9144,8.0737,8.1014,296.688k,231.847k
,Th,10/18/2018,9.61,9.68,9.31,9.37,8.8998,8.0544,8.1041,140.728k,217.807k
,We,10/17/2018,9.59,9.8429,9.26,9.74,8.8724,8.0237,8.1025,196.955k,217.211k
,Tu,10/16/2018,9.59,9.69,9.37,9.6,8.821,7.9892,8.0982,202.497k,209.661k
,Mo,10/15/2018,9.83,9.83,9.4,9.58,8.7752,7.9565,8.0921,164.67k,203.074k
,,,,,,,,,,,
,Fr,10/12/2018,9.43,9.55,9.25,9.52,8.7262,7.9241,8.0876,176.361k,196.261k
,Th,10/11/2018,8.58,9.21,8.58,9.12,8.6798,7.8929,8.0854,152.002k,188.363k
,We,10/10/2018,9.66,9.66,8.7001,8.71,8.6392,7.8672,8.0845,235.479k,184.384k
,Tu,10/9/2018,9.82,9.9862,9.56,9.71,8.6034,7.8446,8.0845,109.537k,178.219k
,Mo,10/8/2018,9.97,10.2599,9.64,9.81,8.5456,7.813,8.0801,115.887k,184.211k
,,,,,,,,,,,
,Fr,10/5/2018,10.02,10.25,9.73,9.98,8.4914,7.7805,8.0749,208.231k,192.907k
,Th,10/4/2018,10.5,10.5,9.79,10,8.4396,7.7466,8.0704,315.153k,188.012k
,We,10/3/2018,9.08,10.94,8.79,10.59,8.3906,7.7138,8.0656,837.458k,176.576k
,Tu,10/2/2018,8.81,9.38,8.42,9.09,8.3276,7.6727,8.0583,207.509k,129.328k
,Mo,10/1/2018,9.52,9.73,9.2578,9.35,8.298,7.652,8.0604,118.545k,124.455k
,,,,,,,,,,,
,Fr,9/28/2018,9.63,9.73,9.46,9.48,8.2628,7.6304,8.0647,86099,119.122k
,Th,9/27/2018,9.63,9.78,9.44,9.69,8.2218,7.6056,8.0692,131.776k,118.236k
,We,9/26/2018,9.83,9.83,9.62,9.64,8.1758,7.5791,8.0728,83711,114.878k
,Tu,9/25/2018,9.46,9.83,9.39,9.8,8.1284,7.5532,8.0796,103.696k,116.409k
,Mo,9/24/2018,9.45,9.5319,9.28,9.44,8.0758,7.5237,8.0879,62466,123.916k
,,,,,,,,,,,
,Fr,9/21/2018,9.6,9.67,9.44,9.53,8.034,7.499,8.0977,57891,125.854k
,Th,9/20/2018,9.6,9.68,9.45,9.54,7.991,7.4731,8.1083,92315,130.1k
,We,9/19/2018,9.5,9.6449,9.39,9.58,7.9446,7.4469,8.1202,143.01k,135.042k
,Tu,9/18/2018,9.7,9.8242,9.45,9.48,7.9028,7.4211,8.1329,199.423k,130.825k
,Mo,9/17/2018,9.48,9.84,9.38,9.69,7.8662,7.3975,8.1465,246.322k,123.941k
,,,,,,,,,,,
,Fr,9/14/2018,9.11,9.4994,9.0131,9.35,7.8232,7.3727,8.1596,134.804k,115.421k
,Th,9/13/2018,8.96,9.2492,8.96,9.07,7.7838,7.3539,8.174,143.62k,117.961k
,We,9/12/2018,8.53,8.96,8.39,8.93,7.747,7.339,8.1884,128.739k,122.586k
,Tu,9/11/2018,8.35,8.57,8.12,8.52,7.7122,7.3291,8.2023,134.41k,127.076k
,Mo,9/10/2018,8.5,8.5,8.3,8.36,7.6834,7.321,8.2185,38546,137.118k
,,,,,,,,,,,
,Fr,9/7/2018,8.33,8.52,8.06,8.47,7.6594,7.3134,8.2349,72812,141.651k
,Th,9/6/2018,8.52,8.52,8.3,8.41,7.6354,7.306,8.2501,81407,146.743k
,We,9/5/2018,8.5,8.5579,8.3101,8.48,7.6172,7.2966,8.2655,106.668k,152.14k
,Tu,9/4/2018,8.8,8.8,8.3,8.54,7.5882,7.2862,8.2799,216.303k,160.747k
,,,,,,,,,,,
,Fr,8/31/2018,8.82,8.91,8.71,8.83,7.5732,7.2746,8.2923,91547,167.347k
,Th,8/30/2018,8.83,8.98,8.8,8.88,7.555,7.2608,8.3054,121.581k,200.66k
,We,8/29/2018,8.78,8.95,8.61,8.84,7.538,7.246,8.3175,166.439k,214.918k
,Tu,8/28/2018,8.76,8.83,8.65,8.72,7.5132,7.2282,8.3249,79755,250.248k
,Mo,8/27/2018,8.5,8.8,8.41,8.7,7.4842,7.2114,8.3313,96167,250.543k
,,,,,,,,,,,
,Fr,8/24/2018,8.47,8.59,8.35,8.48,7.4396,7.1953,8.3386,118.51k,251.988k
,Th,8/23/2018,8.41,8.7,8.28,8.41,7.4026,7.1814,8.3471,172.915k,247.56k
,We,8/22/2018,8.4,8.59,8.26,8.49,7.3678,7.1671,8.3567,212.991k,240.892k
,Tu,8/21/2018,8.14,8.4,8.1195,8.4,7.3388,7.152,8.3659,196.084k,229.435k
,Mo,8/20/2018,7.76,8.17,7.48,8.14,7.3134,7.1408,8.3759,285.051k,219.921k
,,,,,,,,,,,
,Fr,8/17/2018,7.5,7.62,7.43,7.47,7.2838,7.1295,8.3871,106.53k,209.014k
,Th,8/16/2018,7.3,7.63,7.2625,7.55,7.27,7.1264,8.4029,149.203k,212.032k
,We,8/15/2018,7.1,7.35,6.92,7.27,7.258,7.1248,8.4172,162.358k,207.472k
,Tu,8/14/2018,6.7,7.19,6.68,7.16,7.2466,7.1263,8.4328,235.77k,201.947k
,Mo,8/13/2018,6.61,6.75,6.34,6.75,7.2342,7.1316,8.45,315.302k,201.109k
,,,,,,,,,,,
,Fr,8/10/2018,6.7,7.1576,6.53,6.72,7.232,7.1445,8.4692,591.243k,185.718k
,Th,8/9/2018,8.16,8.25,7.751,8.01,7.233,7.1565,8.4892,335.448k,150.763k
,We,8/8/2018,7.4,8.18,7.4,8,7.209,7.1593,8.5019,696.391k,133.779k
,Tu,8/7/2018,7.34,7.44,7.1365,7.17,7.175,7.1629,8.5155,84188,91872
,Mo,8/6/2018,7.13,7.38,7.1,7.31,7.1574,7.1823,8.5302,117.835k,89742
,,,,,,,,,,,
,Fr,8/3/2018,7.25,7.44,7.03,7.13,7.1378,7.1997,8.5444,52091,87930
,Th,8/2/2018,7.08,7.355,7.0571,7.2,7.122,7.2209,8.5589,72899,90274
,We,8/1/2018,6.95,7.189,6.95,7.09,7.106,7.2422,8.5743,41129,91366
,Tu,7/31/2018,6.83,6.98,6.7382,6.92,7.0952,7.264,8.5892,53379,95116
,Mo,7/30/2018,7.08,7.2,6.76,6.82,7.0858,7.2867,8.6063,121.447k,104.259k
,,,,,,,,,,,
,Fr,7/27/2018,7.36,7.3852,7.03,7.1,7.0804,7.3137,8.6234,151.798k,104.829k
,Th,7/26/2018,7.55,7.65,7.3357,7.39,7.0696,7.3391,8.6388,80803,102.62k
,We,7/25/2018,7.4,7.58,7.37,7.55,7.0536,7.3615,8.6553,79481,103.183k
,Tu,7/24/2018,7.68,7.75,7.24,7.44,7.037,7.3786,8.6711,223.201k,101.155k
,Mo,7/23/2018,7.54,7.613,7.3429,7.61,7.0178,7.3924,8.6885,84444,96103
,,,,,,,,,,,
,Fr,7/20/2018,7.41,7.61,7.34,7.59,7.006,7.3999,8.7043,66911,104.382k
,Th,7/19/2018,7.32,7.53,7.32,7.43,6.998,7.4083,8.7226,80684,110.603k
,We,7/18/2018,7.25,7.42,7.14,7.39,6.9894,7.4193,8.7413,67789,119.214k
,Tu,7/17/2018,7.13,7.334,7.13,7.27,6.9824,7.4318,8.7612,52235,128.036k
,Mo,7/16/2018,7.33,7.35,7.06,7.17,6.978,7.4428,8.7815,90662,146.167k
,,,,,,,,,,,
,Fr,7/13/2018,7.38,7.59,7.25,7.35,6.9716,7.4551,8.8013,87251,231.823k
,Th,7/12/2018,7.3,7.44,7.1,7.38,6.964,7.4649,8.8193,89278,245.757k
,We,7/11/2018,7.39,7.57,7.15,7.22,6.9552,7.4738,8.8337,97384,284.822k
,Tu,7/10/2018,7.56,7.84,7.34,7.49,6.9492,7.4846,8.849,190.516k,297.544k
,Mo,7/9/2018,7.64,7.7714,7.54,7.65,6.9394,7.4928,8.8631,130.001k,308.054k
,,,,,,,,,,,
,Fr,7/6/2018,7.39,7.59,7.297,7.54,6.9288,7.5008,8.8764,118.653k,331.163k
,Th,7/5/2018,7.24,7.39,7.1493,7.38,6.9222,7.5103,8.8912,89255,345.178k
,Tu,7/3/2018,7.21,7.24,7.02,7.23,6.924,7.5186,8.9058,49063,354.131k
