,,,,,,,,,,,
,Day,Date,Open,High,Low,Close,SMAVG (50) on Close,SMAVG (100) on Close,SMAVG (200) on Close,Volume,SMAVG (150
,We,5/30/2018,6.37,6.85,6.3,6.81,7.08,8.1292,9.0409,340.298k,201.684k
,Tu,5/29/2018,6.27,6.34,6.209,6.3,7.1096,8.1538,9.0482,147.136k,186.232k
,,,,,,,,,,,
,Fr,5/25/2018,6.3,6.39,6.16,6.29,7.1508,8.1813,9.059,105.375k,182.926k
,Th,5/24/2018,6.41,6.51,6.25,6.33,7.2072,8.2071,9.077,110.746k,192.843k
,We,5/23/2018,6.42,6.4488,6.23,6.34,7.2616,8.2278,9.0942,178.541k,190.16k
,Tu,5/22/2018,6.57,6.5731,6.37,6.4,7.3198,8.2511,9.1125,156.738k,183.762k
,Mo,5/21/2018,6.46,6.661,6.43,6.55,7.3784,8.2778,9.1315,125.119k,178.765k
,,,,,,,,,,,
,Fr,5/18/2018,6.58,6.6148,6.38,6.45,7.4328,8.3018,9.1502,146.239k,176.575k
,Th,5/17/2018,6.58,6.782,6.52,6.55,7.4876,8.3244,9.1727,131.741k,175.296k
,We,5/16/2018,6.61,6.711,6.53,6.56,7.547,8.3471,9.1959,130.264k,172.718k
,Tu,5/15/2018,6.77,6.88,6.5432,6.59,7.6086,8.3692,9.2194,229.617k,173.218k
,Mo,5/14/2018,6.48,6.82,6.27,6.72,7.6694,8.3942,9.2425,307.332k,162.283k
,,,,,,,,,,,
,Fr,5/11/2018,6.7,6.86,6.2601,6.48,7.7202,8.4175,9.2658,554.253k,149.475k
,Th,5/10/2018,7.21,7.29,6.9998,7.02,7.767,8.4438,9.2903,238.653k,119.349k
,We,5/9/2018,7.01,7.23,6.97,7.19,7.7938,8.4688,9.3127,123.213k,105.729k
,Tu,5/8/2018,7.04,7.13,6.96,7,7.8186,8.499,9.3333,108.513k,105.504k
,Mo,5/7/2018,7.13,7.26,7.01,7.04,7.8492,8.5328,9.3546,97549,107.571k
,,,,,,,,,,,
,Fr,5/4/2018,6.78,7.1699,6.72,7.05,7.8812,8.5664,9.3765,254.128k,107.134k
,Th,5/3/2018,6.95,6.97,6.7864,6.85,7.9076,8.606,9.3983,70494,94714
,We,5/2/2018,6.97,7.035,6.87,6.97,7.9386,8.6521,9.4212,82576,97422
,Tu,5/1/2018,6.9,7.0094,6.82,6.94,7.9658,8.6964,9.444,81784,100.91k
,Mo,4/30/2018,7.03,7.15,6.92,6.92,7.9924,8.7436,9.4677,92267,106.054k
,,,,,,,,,,,
,Fr,4/27/2018,7.14,7.1502,6.91,7,8.02,8.7936,9.4908,127.061k,103.861k
,Th,4/26/2018,7.25,7.31,7.05,7.12,8.0462,8.8447,9.5147,93073,100.709k
,We,4/25/2018,7.5,7.51,7.17,7.21,8.0728,8.8954,9.5363,137.763k,98695
,Tu,4/24/2018,7.64,7.68,7.36,7.47,8.0984,8.9465,9.5563,65582,96378
,Mo,4/23/2018,7.99,7.99,7.4599,7.58,8.1132,8.994,9.5749,115.217k,99127
,,,,,,,,,,,
,Fr,4/20/2018,7.61,7.98,7.61,7.94,8.13,9.0379,9.5917,102.358k,100.75k
